"status","path","clicks","impressions","position","action","target","reason"
"crawled_not_indexed","/purchase-requisition-software","0","865","3919","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/how-much-does-inventory-software-cost","0","865","423","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/inventory-management-for-small-business-complete-guide","0","798","1069","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/glossary/consignment-inventory","0","723","5841","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/inventory-management-101","0","579","299","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/how-to-manage-inventory-in-restaurants","0","545","701","noindex_follow","","weak relevance and low traction"
"crawled_not_indexed","/nl/industries/voorraadbeheer-retail","0","440","1017","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-management-software-for-small-businesses","0","431","1487","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/what-is-a-good-inventory-turnover-ratio","0","414","6","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-choose-inventory-management-software","0","322","2704","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/nl/mobiel-voorraadbeheer","0","266","1356","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/migrating-from-excel-to-inventory-software","0","254","564","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/what-is-a-gs1-barcode","0","209","981","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/contractor-inventory-management","0","206","4766","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/logistics-inventory-management-software","0","145","3104","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/enterprise-inventory-management","0","131","3232","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/pharmaceutical-warehouse-management-system","0","97","895","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-analysis","0","83","488","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/food-beverage-warehouse-management-system","0","82","187","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/10-best-b2b-e-commerce-platforms","0","72","1017","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/what-are-the-3-major-inventory-management-techniques","0","64","794","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-management-bing","0","54","1622","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/the-future-of-qr-codes-what-lies-ahead-for-inventory-management","0","54","637","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/stockflow-vs-quickbooks-commerce","0","53","915","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/10-reasons-to-consider-cloud-based-inventory-management","0","51","2186","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/nl/industries/voorraadbeheer-zorg","0","46","1624","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/cross-dock-warehouse","0","45","5627","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/ecommerce-inventory-management","0","42","236","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/3pl-warehouse-management-system","0","41","1078","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/stockflow-vs-fishbowl-inventory","0","40","767","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-control-systems","0","35","5391","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/blog","0","30","537","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/pharmacy-inventory-management-best-practices","0","29","1997","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/stock-management-software","0","29","731","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-do-upcs-barcodes-help-with-inventory-control","0","29","624","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/equipment-inventory-management-best-practices","0","25","172","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/buffer-stock","0","25","892","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-implement-a-barcode-system-in-a-warehouse","0","24","3017","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/barcode-inventory-system","0","23","6748","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/glossary/minimum-order-quantity","0","22","15","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/help-center","0","21","852","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-do-you-organize-inventory","0","21","848","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-optimize-inventory-levels-in-construction","0","20","67","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/multiple-location-inventory-management","0","19","6","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/nl/voorraadbeheer-middelgrote-bedrijven","0","18","2017","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-store-construction-materials","0","18","1167","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-turnover-ratio","0","15","96","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/glossary","0","15","15","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/automated-order-management-systems-vs-manual-order-management","0","15","873","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-use-qr-codes-for-healthcare-inventory","0","14","686","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/inventory-barcode-system","0","14","5","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/stockflow-vs-vend","0","14","621","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/cost-of-goods-formula","0","12","158","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/10-most-common-inventory-management-mistakes-small-businesses","0","11","982","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/year-end-checklist-for-small-business","0","11","573","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/ultimate-guide-to-multi-echelon-inventory-optimization","0","10","247","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/how-to-operate-an-a-school-inventory-management-system","0","10","107","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/4-inventory-accounting-methods-for-inventory-valuation","0","10","87","noindex_follow","","low demand + zero clicks"
"crawled_not_indexed","/construction-material-cost","0","10","433","noindex_follow","","low demand + zero clicks"
